file_id	total_reads	index_files
e2e2888c-29b8-4b71-843a-d760ddfa0c86	1941984104	a07d1315-b5e2-4859-9fa4-9ec427f332ff
c74df795-4769-4c80-905a-d884a864b533	596182480	628a6e6e-98ba-42a5-89f0-3ffb0f73693b
8947e32d-7728-4377-94c1-5d930db2f0e7	1964109942	a7617068-0972-44ae-87bf-02f87e319bea
b55449bd-72dd-4908-a569-e831842810c4	1797490236	dd37525c-567d-4510-a632-ccda791ef87c
1358fa83-54d3-41e4-8bc7-d101e0d502cd	1895894500	4a091126-5324-41d3-90c4-f760a173776f
bfaad5bd-364f-45f6-8e9e-cafaf43a7f87	2079405824	123ed774-2046-4058-8e46-c8007e3b4ee9
172e9bf5-d41e-4967-804f-026f81fa01c2	2074098752	39fad181-c339-4eaa-a06b-8344c1e50afd
19a6af56-5337-449e-b8cf-0de1ccbc7c70	2135295628	23d6c218-58ec-494c-986c-dd6cf9477cbe
4e534438-fa5d-4ff6-a4d5-df8ab9f84751	2695489880	1ca9cf63-71ea-4473-b9bf-2d974553433e
4600677b-4371-44cd-8e55-818f271e84f2	2314822300	8d66ee5c-9347-4677-a924-220b29f37a84
7beaffec-9760-42b0-80d8-8773dc2de5d5	2327999476	23e99b76-9807-4ef3-a893-02973318ef45
45d091e3-ea15-4c22-a8a1-13d78b2e50cc	2260865760	68dc0f68-811f-492f-a3c4-5f3db8b9f1fe
944584f6-3117-4745-b6a8-3e55a1af8a1c	2650870820	7b9d396e-a5b9-4248-820b-28b56cf6d5a3
0f6f9386-b310-4c6c-954f-217b020e2882	1437372946	a8fd27bc-bcc4-47a5-9430-dbf9457f7dae
e434450e-c927-49c9-84da-d4963aa5a721	1856034476	d4dbf4e3-6633-4c5b-99c8-fd80bfbde06e
e36b9c65-ebe9-4aac-abda-f7af7ed3cd78	303560530	386b0dbf-cdfc-42a8-bf68-93d3ba8267b9
a07661e9-b9c2-431b-8d4d-d1ad2b498f53	298349076	85dadabd-ccfd-4550-8051-948158730c0d
42ecfdfe-c8b0-4b7c-a604-858c11c0fc42	2478297784	0e68460f-c38a-4967-a85d-cbaa5036cb34
3ab31161-2b56-4ba2-9cf9-0696b61bd4e3	2386535430	3d1f44d5-6417-454d-a674-9f56bde3d90f
eca96ecb-17a7-4247-8786-9a9d4a483893	2452135766	724f94d6-f89a-4fe5-aa79-d9436fa4da6f
391df26d-46a6-45e1-8a0c-ff198f587415	1902306836	141165fb-92f6-4b0e-bb77-99b3d004347a
ef0ad3f2-60ab-4714-aa0b-4d4ff33ad841	280598660	b1ef794b-193f-4986-a895-17fae37d807d
6300f92a-5606-4898-af12-ac2c4c8f9b35	2666851692	ae62f0ae-bdea-4cf3-b981-6c591dd0a735
38914959-70ca-48ee-a4e7-0a95b1c5d327	2241617540	2d77c79b-96d0-4610-8128-5380076a6e77
5abd20bd-b13e-44e1-89ea-cb2e039f391f	2668332732	f4084b4e-e895-42af-a7ca-b167042db980
cfcc6035-09be-46a9-b3e4-94b08574d394	1306809234	bbdd5e83-d7b5-48c3-b5fa-08c61f47762f
8bf01766-63fe-4ef0-9f82-98dcf6516e0b	2612471410	d7e820ec-4848-401f-b982-92a2dcd92cc2
8b582712-3050-4012-a639-64872d5a65a0	2562183388	c6a1b060-0791-4594-97b8-247e92da37c9
bbc79416-f540-460f-8e82-4b0f19a8668b	2759657988	605ba04a-8298-4826-a958-bea2e57b7d1f
7e671200-6cee-41cc-b8c3-41bc7c353ef5	2646993994	2514fcce-effc-4436-83ff-249218a4d33e
2ad06f19-ddd6-4c6a-b2c7-06349f4956f7	2605621220	03d24d6f-5488-4990-814a-04c5fc7dc509
18d79bfb-2a56-4d81-bf30-5fd4d0574a67	2141217834	868632ba-dd73-4556-873b-2032e6d92fff
048a898f-caed-41e2-a82f-658d6ad49def	2456442492	b85c2427-7778-4134-843f-13ae32b698ae
